Отметка времени,"Возможность ознакомления с исходным кодом программы желательна (например, с целью понять, как работает программа ""изнутри"")",Возможность пользователя модифицировать исходный код используемой им программы желательна,"При внесении в основной код программы нежелательных изменений, сообщество должно иметь возможность создать форк (ответвление) программы и развивать проект без них","Я считаю, что разработчик не должен иметь возможность удаленно совершать изменения в программе на компьютере пользователя без его ведома",Меня беспокоит сбор данных об использовании программы без моего согласия,"Мне не хотелось бы, чтобы у программ, которые я использую, были функции, которые позволяли бы кому-то, кто не должен контролировать компьютер, посылать команды этому компьютеру.",Меня беспокоит программное обеспечение с запланированным устареванием,"Меня беспокоит цензура в программах (например, запрет в приложении для работников Amazon использовать в чате слова “Union,” “Restrooms,” “Pay Raise,”, “Plantation”) ",Я искал(а) легальные бесплатные альтернативы платным программам ,"Я искал(а) такие программы, которые обеспечивали бы конфиденциальность (не собирали бы данные без моего ведома)","Я искал(а) такие программы, которые можно было бы гибко модифицировать по своему усмотрению",Я искал(а) альтернативы с открытым исходным кодом для проприетарных программ,"Я готов(а) переходить куда-либо с проприетарных программ, с которыми я привыкл(а) работать","Я готов(а) потратить время на освоение свободных программ, чтобы отказаться от проприетарных аналогов","Я находил(а) какие-то альтернативы по перечисленным выше условиям, но не знаю, обладают ли они открытым исходным кодом","Я находил(а) альтернативы с открытым исходным кодом для проприетарного ПО, но они оказывались неудобными или слишком сложными в освоении ","Я находил(а) альтернативы с открытым исходным кодом для проприетарного ПО, но они не обладали достаточным для меня функционалом",Я находил(а) удовлетворительные для себя программы с открытым исходным кодом,Я предпочёл (предпочла) бы участвовать в разработке проекта:,Я готов(а) посылать автоматическую анонимную статистику и отчёты об ошибках интересным мне open-source-проектам,Я готов(а) помогать другим пользователям в освоении open-source-программ,"Я готов(а) информировать других или организовывать рекламные компании для open-source-проектов, в развитии которых я заинтересован(а)","Я готов(а) помогать интересным мне open-source-проектам дизайнерскими, организаторскими или консультационными услугами","Я готов(а) писать программный код для open-source-проектов, в развитии которых я заинтересован(а)"
2022/05/30 5:56:01 PM GMT+3,4,3,4,3,5,4,4,3,5,5,1,3,3,3,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С закрытым исходным кодом,Скорее нет,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Не умею писать код / Затрудняюсь ответить
2022/05/30 5:57:07 PM GMT+3,5,4,4,5,4,5,5,3,5,5,5,4,3,5,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/05/30 5:57:46 PM GMT+3,4,4,4,4,3,4,4,4,5,3,2,2,2,3,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,Анонимно и безвозмездно,Ни за что,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/05/30 6:01:53 PM GMT+3,3,3,3,5,1,5,5,4,2,1,2,3,2,3,Я не искал(а) альтернативы проприетарному ПО,,,,Затрудняюсь ответить,Скорее да,Затрудняюсь ответить,Только за оплату,Только за оплату,Не умею писать код / Затрудняюсь ответить
2022/05/30 6:03:37 PM GMT+3,4,5,5,5,3,5,5,2,5,4,4,4,3,3,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Анонимно и безвозмездно,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/05/30 6:36:10 PM GMT+3,4,5,5,5,5,5,4,5,4,4,2,2,2,3,Я не искал(а) альтернативы проприетарному ПО,3,3,4,С открытым исходным кодом,Скорее да,Затрудняюсь ответить,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Только за оплату,Не умею писать код / Затрудняюсь ответить
2022/05/30 8:09:48 PM GMT+3,4,2,5,5,4,1,4,4,5,4,2,2,3,3,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Затрудняюсь ответить,Не умею писать код / Затрудняюсь ответить
2022/05/30 9:01:35 PM GMT+3,5,3,4,5,4,4,3,4,3,1,1,1,2,2,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Не умею писать код / Затрудняюсь ответить
2022/05/30 11:21:24 PM GMT+3,5,4,5,5,5,5,5,1,5,5,1,1,3,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С открытым исходным кодом,Скорее да,Анонимно и безвозмездно,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Не умею писать код / Затрудняюсь ответить
2022/05/31 9:45:14 PM GMT+3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Точно да,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно,Не умею писать код / Затрудняюсь ответить
2022/06/01 7:30:29 PM GMT+3,5,5,5,5,5,5,5,5,5,1,1,1,3,3,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Только за оплату
2022/06/01 7:43:35 PM GMT+3,3,3,3,4,4,5,5,1,5,1,1,1,3,1,Я не искал(а) альтернативы проприетарному ПО,4,3,3,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Не умею писать код / Затрудняюсь ответить
2022/06/01 7:52:09 PM GMT+3,5,5,5,5,5,5,5,5,3,2,2,2,4,4,"Нет, знаю",4,4,3,С открытым исходным кодом,Точно да,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно
2022/06/01 7:53:50 PM GMT+3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Я не искал(а) альтернативы проприетарному ПО,5,5,1,"Неважно, какой исходный код, важны другие показатели",Точно нет,Ни за что,Ни за что,Ни за что,Ни за что
2022/06/01 7:55:23 PM GMT+3,1,1,3,4,3,5,5,2,3,2,1,1,1,1,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/06/01 8:06:32 PM GMT+3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",2,2,4,С открытым исходным кодом,Точно да,Анонимно и безвозмездно,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Только за оплату
2022/06/01 8:09:28 PM GMT+3,4,5,5,2,4,5,2,4,5,1,2,5,2,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",4,2,5,"Неважно, какой исходный код, важны другие показатели",Скорее да,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Анонимно и безвозмездно,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Только за оплату
2022/06/01 9:23:37 PM GMT+3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Я не искал(а) альтернативы проприетарному ПО,5,5,1,С закрытым исходным кодом,Точно нет,Ни за что,Ни за что,Ни за что,Ни за что
2022/06/01 9:56:11 PM GMT+3,4,2,4,3,4,4,2,5,4,2,1,1,5,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,Затрудняюсь ответить,Скорее да,Только за оплату,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Не умею писать код / Затрудняюсь ответить
2022/06/02 1:47:30 AM GMT+3,3,4,4,5,5,5,3,4,4,4,2,4,4,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",4,3,5,"Неважно, какой исходный код, важны другие показатели",Скорее нет,Затрудняюсь ответить,Затрудняюсь ответить,Только за оплату,Не умею писать код / Затрудняюсь ответить
2022/06/02 8:30:06 AM GMT+3,5,3,4,5,5,5,5,5,5,4,2,2,4,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С открытым исходным кодом,Затрудняюсь ответить,Затрудняюсь ответить,Анонимно и безвозмездно,Анонимно и безвозмездно,Только за оплату
2022/06/02 11:19:20 AM GMT+3,5,3,4,5,5,2,1,1,5,5,2,1,1,1,Я не искал(а) альтернативы проприетарному ПО,1,1,2,"Неважно, какой исходный код, важны другие показатели",Скорее да,Только за оплату,Затрудняюсь ответить,Ни за что,Ни за что
2022/06/02 11:20:27 AM GMT+3,4,4,5,5,5,5,5,5,3,1,3,1,5,5,Я не искал(а) альтернативы проприетарному ПО,1,1,1,Затрудняюсь ответить,Точно да,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Не умею писать код / Затрудняюсь ответить
2022/06/02 11:22:53 AM GMT+3,4,3,5,3,3,2,4,4,4,2,2,4,1,3,Я не искал(а) альтернативы проприетарному ПО,1,1,4,"Неважно, какой исходный код, важны другие показатели",Скорее да,Только за оплату,Только за оплату,Только за оплату,Только за оплату
2022/06/02 11:24:49 AM GMT+3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,Затрудняюсь ответить,Точно да,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно
2022/06/02 1:14:35 PM GMT+3,4,5,3,5,5,5,5,1,5,2,4,1,1,3,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Только за оплату,Только за оплату,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/06/07 6:16:21 PM GMT+3,2,1,2,4,5,4,4,1,1,1,4,2,1,1,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С закрытым исходным кодом,Точно нет,Только за оплату,Только за оплату,Только за оплату,Только за оплату
2022/06/07 6:55:17 PM GMT+3,5,4,3,2,5,5,5,5,5,5,4,1,3,2,Я не искал(а) альтернативы проприетарному ПО,,,,"Неважно, какой исходный код, важны другие показатели",Скорее да,Затрудняюсь ответить,Только за оплату,Только за оплату,Не умею писать код / Затрудняюсь ответить
2022/06/07 7:57:20 PM GMT+3,4,4,5,5,3,5,5,5,5,5,3,5,3,5,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С открытым исходным кодом,Точно нет,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Затрудняюсь ответить,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Не умею писать код / Затрудняюсь ответить
2022/06/07 11:44:19 PM GMT+3,5,5,4,5,1,5,5,5,5,1,1,1,5,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,"Неважно, какой исходный код, важны другие показатели",Точно да,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно,Не умею писать код / Затрудняюсь ответить
2022/06/07 11:46:51 PM GMT+3,4,4,4,5,3,3,1,1,5,1,1,1,1,1,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С открытым исходным кодом,Точно да,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Не умею писать код / Затрудняюсь ответить
2022/06/07 11:55:23 PM GMT+3,4,3,5,4,1,5,5,5,5,3,1,1,3,3,Я не искал(а) альтернативы проприетарному ПО,,,,Затрудняюсь ответить,Скорее да,Ни за что,Ни за что,Ни за что,Ни за что
2022/06/08 12:01:41 AM GMT+3,5,5,5,2,2,4,1,2,5,1,4,1,1,4,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С открытым исходным кодом,Затрудняюсь ответить,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Только за оплату,Анонимно и безвозмездно,Только за оплату
2022/06/08 12:02:18 AM GMT+3,5,3,5,4,3,5,5,3,5,2,5,1,3,3,Я не искал(а) альтернативы проприетарному ПО,3,3,3,С закрытым исходным кодом,Скорее да,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Затрудняюсь ответить,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Не умею писать код / Затрудняюсь ответить
2022/06/08 10:24:59 AM GMT+3,5,4,3,5,4,5,5,5,4,2,2,5,5,5,"Нет, знаю",2,1,5,С открытым исходным кодом,Скорее да,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Затрудняюсь ответить,Анонимно и безвозмездно,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/06/08 10:25:26 AM GMT+3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Нет, знаю",1,3,5,С открытым исходным кодом,Скорее нет,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно,Анонимно и безвозмездно
2022/06/08 10:33:04 AM GMT+3,4,4,5,5,5,5,4,4,5,5,4,4,4,4,"Нет, знаю",4,2,4,С открытым исходным кодом,Скорее нет,Анонимно и безвозмездно,Затрудняюсь ответить,Затрудняюсь ответить,"Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований"
2022/06/08 10:43:13 AM GMT+3,4,4,5,5,4,5,5,4,5,4,5,5,2,5,"Нет, знаю",3,4,5,С открытым исходным кодом,Затрудняюсь ответить,"Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований","Без  оплаты, с учётом, что известно моё авторство и/или реквизиты для пожертвований",Не умею писать код / Затрудняюсь ответить
2022/06/08 11:21:12 AM GMT+3,3,5,5,5,5,5,4,5,5,4,5,5,3,3,"Да, не знаю (в таком случае, дальше в этом блоке стоит ничего не отвечать)",,,,С открытым исходным кодом,Скорее да,Только за оплату,Только за оплату,Только за оплату,Только за оплату
